genres;drama 1;drama 2;drama 3;drama 4;drama 5
1;11493;32447;41633;29687;17306
2;43103;38793;32444;39605;43584
4;39711;45443;34586;37168;26055
5;26856;26055;52096;38547;2294
6;11493;32637;32447;25663;17306
7;34626;11493;39456;32637;32447
9;39035;48874;52154;51337; 
10;39456;36057;43421;18305;42684
11;26055;18305;43103;42125;23153
12;34626;39456;32637;32447;26856
18;27278;18305;35352;38561;32444
25;34626;32637;26856;43044;43655
26;32637;32447;39711;49950;24329
27;42234;37257;21052;27713;42921
28;31761;36566;38788;36947;48213
29;29603;48874;50866; ; 
30;32447;26055;49232;34034;27300
31;26055;18305;27513;30819;38024
32;25663;25909;42768;32356;35003
33;30886; ; ; ; 
34;26055;20531;37155;42311;33059
35;41633;26856;38015;47638;35619
36;34586;27399;34609;38547;36061
37;35003;26055;34753;37510;38652
38;34914;39169;43103;38570;37706
42;50274;49551; ; ; 
43;30886; ; ; ; 
44;50527;42732;34647;43069;35840
45;26856;49994;15137;34586;26055
46;38021; ; ; ; 
48;37155;39704; ; ; 
50;26055;32475;42793;32858;38096
54;20894;31360;37706;43529;44030
56;29499;31878;43957;6292;35881
57;43733;41906;32354;29358;
75;43458; ; ; ; 
76;37510; ; ; ; 
92;43374;43335; ; ; 
96;38652;39169;43103;42125;36207
97;28895;29321;33233; ; 
104;29480;43555; ; ; 
105;5812;30333;12584;44270;49668
113;34877;51901; ; ; 
114;51919;52201;48897;46051; 
