"";"dorama_id";"dorama_title"
"1";1352;"Goong S"
"2";1353;"My Girl"
"3";1854;"Yu-hee, the Witch"
"4";1922;"Jewel in the Palace"
"5";1957;"One Fine Day"
"6";2160;"Beautiful Days"
"7";2193;"Full House"
"8";2294;"The Legend"
"9";2308;"Biscuit Teacher and Star Candy"
"10";2411;"Invisible Man"
"11";2418;"Time Between Dog and Wolf"
"12";2493;"The Lucifer"
"13";2559;"Princess Hours"
"14";2715;"Sassy Girl, Chun-hyang"
"15";2753;"Ice Girl"
"16";2793;"My Lovely Sam Soon"
"17";2794;"A Love to Kill"
"18";2796;"Sorry, I Love You"
"19";2797;"Spring Waltz"
"20";2798;"Let's Go, Sangdoo"
"21";2799;"Ireland"
"22";3011;"Over the Rainbow (KR)"
"23";3096;"Which Star Are You From?"
"24";3474;"Couple or Trouble"
"25";3475;"Loveholic"
"26";4163;"Cat on the Roof"
"27";4341;"Forbidden Love"
"28";4343;"Genghis Khan"
"29";4734;"The Man of the Vineyard"
"30";4893;"Tree in Heaven"
"31";5716;"Thank You"
"32";5812;"IRIS"
"33";6173;"Winter Sonata"
"34";6292;"Only You"
"35";6333;"Snow White"
"36";6341;"Green Rose (KR)"
"37";6509;"Iljimae"
"38";6584;"Ju Mong"
"39";6655;"Que Sera, Sera"
"40";6788;"18, 29"
"41";6804;"Hello, My Lady!"
"42";6810;"Lovers (2006)"
"43";6816;"When A Man Loves A Woman"
"44";6817;"Marrying A Millionaire"
"45";6820;"Memories of Bali"
"46";6972;"My Love Patzzi"
"47";7369;"Beautiful Life (KR)"
"48";7687;"Say You Love Me"
"49";7738;"Save The Last Dance For Me"
"50";7739;"Hello, God!"
"51";7828;"First Love (KR)"
"52";7829;"Gift (KR)"
"53";7830;"The Snow Queen (KR)"
"54";7832;"Perfect Love (KR)"
"55";7858;"You're Beautiful"
"56";7940;"Dal Ja's Spring"
"57";8261;"Emperor of the Sea"
"58";8305;"The Daring Sisters"
"59";8306;"The Dance in the Sky"
"60";8310;"Summer Beach"
"61";8311;"Little Bride"
"62";8871;"Something About 1%"
"63";8922;"Wonderful Life (KR)"
"64";9935;"All In"
"65";9976;"Marry Me (KR)"
"66";10180;"Princess Lulu"
"67";10774;"A Man and A Woman"
"68";11033;"My Girlfriend is a Gumiho"
"69";11328;"My Fair Lady"
"70";11493;"Mary Stayed Out All Night"
"71";11579;"Mischievous Kiss"
"72";11727;"Revenge (KR)"
"73";12050;"Autumn in My Heart"
