"";"dorama_id";"dorama_title";"overall_rating";"watching";"seasons";"year";"genres"
"1";32448;"The Heirs";4,23;5268;1;2013;"{6,7,1}"
"2";7858;"You're Beautiful";4,28;5450;1;2009;"{6,1,7}"
"3";16088;"Boys over flowers";4,2;5403;2;2009;"{1,2,7,6,31,10}"
"4";30055;"Flower Boy Next Door";4,07;3649;1;2013;"{7,2,1}"
"5";27407;"Heartstrings (You've Fallen for Me)";4,09;3173;1;2011;"{7,11,2,76,32}"
"6";18508;"Secret Garden";4,25;3087;1;2010;"{6,12,7,1}"
"7";11579;"Mischievous Kiss";3,94;3285;1;2010;"{7,6,1}"
"8";25910;"To the Beautiful You";3,99;2921;1;2012;"{1,7,6}"
"9";25670;"City Hunter (SK)";4,31;3016;1;2011;"{7,6,4}"
"10";30668;"Personal Taste";4,03;2729;1;2010;"{6,1,7}"
"11";34626;"Man from the Stars";4,37;2689;1;2013;"{12,25,7}"
"12";16150;"Dream High";4,11;2797;2;2011;"{1,7,6,32}"
"13";39456;"Pinocchio";4,35;2579;1;2014;"{7,10,12}"
"14";32637;"I Hear Your Voice";4,48;2560;1;2013;"{7,26,25,12,6}"
"15";32447;"The Master's Sun";4,54;2491;1;2013;"{30,12,26,6,7,1}"
"16";11493;"Mary Stayed Out All Night";3,92;2638;1;2010;"{6,1,7}"
"17";29687;"Flower Boy Ramyun Shop";3,9;2140;1;2011;"{1,7}"
"18";25663;"Shut Up Flower Boy Band";4,17;2224;1;2012;"{32,7,6}"
"19";41633;"Kill Me, Heal Me";4,48;2214;1;2015;"{35,7,1}"
"20";17306;"Coffee Prince";4,01;2133;1;2007;"{6,7,1}"
"21";44459;"She Was Pretty";4,4;1988;1;2015;"{7,1,6}"
"22";39711;"Healer";4,55;1936;1;2014;"{4,7,26,1,6}"
"23";38015;"It's Okay, It's Love";4,47;1793;1;2014;"{35,6,1,7}"
"24";29359;"School 2013";4,27;1819;1;2012;"{6,1}"
"25";28842;"Rooftop Prince";4,29;1757;1;2012;"{7,12,1}"
"26";26856;"Faith";4,27;1838;1;2012;"{5,45,25,7,12,35}"
"27";25909;"K-POP - The Ultimate Audition";3,76;1723;1;2012;"{32,7,6}"
"28";43044;"School 2015: Who Are You?";4,4;1773;1;2015;"{6,7,25}"
"29";32356;"Monstar";3,79;1660;1;2013;"{32,6,7}"
"30";45398;"Cheese in the Trap";4,24;1827;1;2016;"{6,7}"
"31";49950;"W";4,54;1758;1;2016;"{6,7,26}"
"32";24328;"Love Rain";4,05;1676;1;2012;"{6,7}"
"33";25711;"49 Days";4,26;1634;1;2011;"{6,7,12}"
"34";42768;"EXO Next Door";4,17;1705;1;2015;"{7,32,1}"
"35";35619;"Emergency Man and Woman";4,21;1448;1;2014;"{7,1,35}"
"36";47638;"Descendants of the Sun";4,61;1530;1;2016;"{7,6,35}"
"37";36057;"Bride of the Century";4,17;1394;1;2014;"{10,6,7,12}"
"38";45251;"Oh My Venus";4,35;1371;1;2015;"{6,7,1}"
"39";20688;"Running Man";4,83;1602;2017;2010;"{1}"
"40";11033;"My Girlfriend is a Gumiho";4;1305;1;2010;"{6,1,7,12}"
"41";30494;"A Gentleman's Dignity";4,47;1308;1;2012;"{7,6,1}"
"42";27488;"Reply 1997";4,39;1283;1;2012;"{6,1}"
"43";51276;"Goblin";4,75;1452;1;2016;"{12,6,7}"
"44";24329;"White Christmas";4,48;1489;1;2011;"{26,6}"
