;dorama_id;dorama_title;overall_rating;watching;seasons;year;genres;Type;doramatv
1;32448;The Heirs;4,23;5268;1;2013;{6,7,1};1;http://doramatv.ru/the_heirs
2;7858;You're Beautiful;4,28;5450;1;2009;{6,1,7};1;http://doramatv.ru/a_n_jell__you_re_beautiful
3;16088;Boys over flowers;4,2;5403;2;2009;{1,2,7,6,31,10};1;http://doramatv.ru/boys_over_flowers__korea
4;30055;Flower Boy Next Door;4,07;3649;1;2013;{7,2,1};1;http://doramatv.ru/flower_boy_next_door
5;27407;Heartstrings (You've Fallen for Me);4,09;3173;1;2011;{7,11,2,76,32};1;http://doramatv.ru/heartstrings
6;18508;Secret Garden;4,25;3087;1;2010;{6,12,7,1};1;http://doramatv.ru/secret_garden
7;11579;Mischievous Kiss;3,94;3285;1;2010;{7,6,1};1;http://doramatv.ru/mischievous_kiss
8;25910;To the Beautiful You;3,99;2921;1;2012;{1,7,6};1;http://doramatv.ru/to_the_beautiful_you
9;25670;City Hunter (SK);4,31;3016;1;2011;{7,6,4};1;http://doramatv.ru/city_hunter
10;30668;Personal Taste;4,03;2729;1;2010;{6,1,7};1;http://doramatv.ru/personal_taste
11;34626;Man from the Stars;4,37;2689;1;2013;{12,25,7};1;http://doramatv.ru/man_from_the_stars
12;16150;Dream High;4,11;2797;2;2011;{1,7,6,32};1;http://doramatv.ru/dream_high
13;39456;Pinocchio;4,35;2579;1;2014;{7,10,12};1;http://doramatv.ru/pinocchio
14;32637;I Hear Your Voice;4,48;2560;1;2013;{7,26,25,12,6};1;http://doramatv.ru/i_hear_your_voice
15;32447;The Master's Sun;4,54;2491;1;2013;{30,12,26,6,7,1};1;http://doramatv.ru/the_master_s_sun
16;11493;Mary Stayed Out All Night;3,92;2638;1;2010;{6,1,7};1;http://doramatv.ru/mary_stayed_out_all_night
17;29687;Flower Boy Ramyun Shop;3,9;2140;1;2011;{1,7};1;http://doramatv.ru/flower_boy_ramen_shop
18;25663;Shut Up Flower Boy Band;4,17;2224;1;2012;{32,7,6};1;http://doramatv.ru/shut_up_flower_boy_band
19;41633;Kill Me, Heal Me;4,48;2214;1;2015;{35,7,1};1;http://doramatv.ru/kill_me__heal_me
20;17306;Coffee Prince;4,01;2133;1;2007;{6,7,1};1;http://doramatv.ru/1st_shop_of_coffee_prince
21;44459;She Was Pretty;4,4;1988;1;2015;{7,1,6};1;http://doramatv.ru/she_was_pretty
22;39711;Healer;4,55;1936;1;2014;{4,7,26,1,6};1;http://doramatv.ru/healer
23;38015;It's Okay, It's Love;4,47;1793;1;2014;{35,6,1,7};1;http://doramatv.ru/it_s_okay__that_s_love
24;29359;School 2013;4,27;1819;1;2012;{6,1};1;http://doramatv.ru/school_2013
25;28842;Rooftop Prince;4,29;1757;1;2012;{7,12,1};1;http://doramatv.ru/the_rooftop_prince
26;26856;Faith;4,27;1838;1;2012;{5,45,25,7,12,35};1;http://doramatv.ru/faith
27;25909;K-POP - The Ultimate Audition;3,76;1723;1;2012;{32,7,6};1;http://doramatv.ru/k_pop__the_ultimate_audition
28;43044;School 2015: Who Are You?;4,4;1773;1;2015;{6,7,25};1;http://doramatv.ru/who_are_you___school_2015
29;32356;Monstar;3,79;1660;1;2013;{32,6,7};1;http://doramatv.ru/monstar
30;45398;Cheese in the Trap;4,24;1827;1;2016;{6,7};1;http://doramatv.ru/cheese_in_the_trap
31;49950;W;4,54;1758;1;2016;{6,7,26};1;http://doramatv.ru/w___two_worlds
32;24328;Love Rain;4,05;1676;1;2012;{6,7};1;http://doramatv.ru/love_rain
33;25711;49 Days;4,26;1634;1;2011;{6,7,12};1;http://doramatv.ru/49_days
34;42768;EXO Next Door;4,17;1705;1;2015;{7,32,1};1;http://doramatv.ru/exo_next_door
35;35619;Emergency Man and Woman;4,21;1448;1;2014;{7,1,35};1;http://doramatv.ru/emergency_man_and_woman
36;47638;Descendants of the Sun;4,61;1530;1;2016;{7,6,35};1;http://doramatv.ru/descendants_of_the_sun
37;36057;Bride of the Century;4,17;1394;1;2014;{10,6,7,12};1;http://doramatv.ru/bride_of_the_century
38;45251;Oh My Venus;4,35;1371;1;2015;{6,7,1};1;http://doramatv.ru/oh_my_venus
39;20688;Running Man;4,83;1602;2017;2010;{1};1;http://doramatv.ru/running_man__2013
40;11033;My Girlfriend is a Gumiho;4;1305;1;2010;{6,1,7,12};1;http://doramatv.ru/my_girlfriend_is_a_nine_tailed_fox
41;30494;A Gentleman's Dignity;4,47;1308;1;2012;{7,6,1};1;http://doramatv.ru/gentleman_s_dignity
42;27488;Reply 1997;4,39;1283;1;2012;{6,1};1;http://doramatv.ru/reply_1997
43;51276;Goblin;4,75;1452;1;2016;{12,6,7};1;http://doramatv.ru/goblin
44;24329;White Christmas;4,48;1489;1;2011;{26,6};1;http://doramatv.ru/white_christmas
45;25567;Big;3,99;1238;1;2012;{7,1,6};1;http://doramatv.ru/big
46;50093;Cinderella and the Four Knights;4,25;1325;1;2016;{7,1,6};1;http://doramatv.ru/cinderella_and_four_knights
47;37785;Marriage, Not Dating;4,2;1211;1;2014;{7,1};1;http://doramatv.ru/marriage_not_dating
48;15137;Sungkyunkwan Scandal;4,3;1231;1;2010;{1,45,7};1;http://doramatv.ru/sungkyunkwan_scandal
49;49994;Moon Lovers: Scarlet Heart Ryeo;4,59;1377;1;2016;{45,7,12};1;http://doramatv.ru/moon_lovers__scarlet_heart_ryeo
50;45443;Moorim School;4,1;1198;1;2016;{4,6,7,12};1;http://doramatv.ru/moorim_school
51;43421;High Society;3,85;1097;1;2015;{1,7,10,6};1;http://doramatv.ru/high_society
52;38416;The Mermaid;3,75;1151;1;2014;{7,12,1};1;http://doramatv.ru/the_mermaid
53;35003;Exo Showtime;4,45;1155;1;2013;{37,32};0;http://doramatv.ru/exo_s_showtime
54;37579;King of High School Life Conduct;4,03;1044;1;2014;{1,7};1;http://doramatv.ru/king_of_high_school_life_conduct
55;43655;Remember You;4,43;1012;1;2015;{26,25,7};1;http://doramatv.ru/remember_you
56;42539;The Girl Who Can See Smells;4,15;1030;1;2015;{7,1,12,26,6};1;http://doramatv.ru/the_girl_who_sees_smells
57;42175;Blood;3,86;1024;1;2015;{35,12,7};1;http://doramatv.ru/orochi__blood
58;37167;Doctor Stranger;4,12;1007;1;2014;{7,35,6};1;http://doramatv.ru/doctor_stranger
59;41865;Hyde, Jekyll, Me;3,71;976;1;2015;{1,7};1;http://doramatv.ru/hyde_jekyll__me
60;37168;You're All Surrounded;4,27;960;1;2014;{1,7,4};1;http://doramatv.ru/you_re_all_surrounded
61;34606;Bel Ami;3,57;1036;1;2013;{1,7,6};1;http://doramatv.ru/beautiful_guy
62;49983;The Legend of the Blue Sea;4,3;1038;1;2016;{7,12,1};1;http://doramatv.ru/the_legend_of_the_blue_sea
63;43099;Orange Marmalade;3,4;993;1;2015;{12,7};1;http://doramatv.ru/orange_marmalade
64;26055;Queen Inhyun's Man;4,35;946;1;2012;{34,50,11,31,7,30,45,6,37,5,4};1;http://doramatv.ru/queen_in_hyun_s_man
65;44497;Cheer Up!;4,38;981;1;2015;{7,6,1};1;http://doramatv.ru/sassy_go_go
66;31591;Protect the Boss;3,85;886;1;2011;{7,6,1};1;http://doramatv.ru/protect_the_boss
67;32739;Who Are You?;3,99;902;1;2013;{26,25,7};1;http://doramatv.ru/who_are_you
68;49286;Let's Fight Ghost;4,3;879;1;2016;{12,6,1};1;http://doramatv.ru/let_s_fight_ghost
69;38060;Fated to Love You;4,08;876;1;2014;{6};1;http://doramatv.ru/fated_to_love_you__korea
70;31761;Gu Family Book;4,31;886;1;2013;{25,7,45,6,28};1;http://doramatv.ru/gu_family_book
71;31599;Me Too, Flower;3,87;831;1;2011;{7};1;http://doramatv.ru/i_m_a_flower_too
72;48002;Uncontrollably Fond;4,1;878;1;2016;{7,6};1;http://doramatv.ru/uncontrollably_fond
73;50527;Weightlifting Fairy Kim Bok Joo;4,7;891;1;2016;{44,7,6};1;http://doramatv.ru/weightlifting_fairy_kim_bok_joo
74;34753;Weekly Idol ;4,61;877;1;2011;{37,1};0;http://doramatv.ru/weekly_idol
75;27585;The Innocent Man;4,25;805;1;2012;{6,7};1;http://doramatv.ru/nice_guy
76;49205;Doctors;4,2;812;1;2016;{35,6};1;http://doramatv.ru/doctors
77;37845;High School - Love On;4,05;820;1;2014;{7,6,12};1;http://doramatv.ru/high_school__love_on
78;39375;Birth of a Beauty;3,84;793;1;2014;{1,7,6};1;http://doramatv.ru/birth_of_a_beauty
79;27278;Ma Boy;3,59;783;1;2012;{1,2,18,7};1;http://doramatv.ru/ma_boy
80;27350;The Moon That Embraces the Sun;4,23;771;1;2012;{12,45,25,6,7};1;http://doramatv.ru/the_moon_that_embraces_the_sun
81;50522;The K2;4,19;753;1;2016;{6,4};1;http://doramatv.ru/the_k2
82;34586;Empress Ki;4,55;968;1;2013;{45,4,6,36,7};1;http://doramatv.ru/empress_ki
83;30067;Missing You (2012);3,95;745;1;2012;{6};1;http://doramatv.ru/i_miss_you
84;37510;Roommate ;4,27;762;2;2014;{37,2,76,32};0;http://doramatv.ru/roommate__tv_show
85;50358;Hwarang;4,56;863;1;2016;{6,45,7};1;http://doramatv.ru/hwarang
86;33984;Secret Love;4,28;715;1;2013;{28,6,32,26,7};1;http://doramatv.ru/secret__2013
87;38652;Show Me The Money (KR);4,4;752;4;2014;{37,32,96};0;http://doramatv.ru/show_me_the_money
88;42718;The Lover;4,21;874;1;2015;{1,7};1;http://doramatv.ru/the_lover
89;43817;Oh My Ghostess;4,35;683;1;2015;{6,7,1};1;http://doramatv.ru/oh_my_ghost
90;26740;Lie to Me;3,86;711;1;2011;{1,7,6};1;http://doramatv.ru/try_lying_to_me
91;29358;Cheongdamdong Alice;3,71;697;1;2012;{57,7,1};1;http://doramatv.ru/cheongdamdong_alice
92;18305;Oh! My Lady;3,73;706;1;2010;{10,37,18,1,6,7,31,11};1;http://doramatv.ru/oh_my_lady
93;48216;Madame Antoine;4,02;672;1;2016;{6,1,7};1;http://doramatv.ru/madame_antoine
94;42684;Angry Mom;4,39;681;1;2015;{6,25,10};1;http://doramatv.ru/angry_mom
95;38787;Liar Game (SK);4,28;734;1;2014;{25};1;http://doramatv.ru/liar_game__korea
96;49210;Moonlight Drawn by Clouds;4,35;640;1;2016;{1,7,45};1;http://doramatv.ru/moonlight_drawn_by_clouds
97;29865;Full House 2;3,94;612;1;2012;{7,1};1;http://doramatv.ru/full_house_2
98;27399;the King 2 Hearts;4,17;603;1;2012;{6,4,1,36};1;http://doramatv.ru/the_king_2_hearts
99;29499;Panda and Hedgehog;3,59;613;1;2012;{56,7,1};1;http://doramatv.ru/panda_and_hedgehog
100;38788;Bad Guys;4,28;707;1;2014;{26,4,28};1;http://doramatv.ru/bad_guys
101;34914;WIN: Who is Next?;4,4;589;1;2013;{37,38,32};0;http://doramatv.ru/win__who_is_next
