,X[[i]]
1,7858
2,20688
3,32637
4,32447
5,25670
6,39711
7,7858
8,16088
9,20688
10,25670
11,39711
12,34626
13,20688
14,39711
15,30494
16,44459
17,35003
18,42768
19,20688
20,32637
21,32447
22,25670
23,39711
24,34626
25,20688
26,32637
27,32447
28,39711
29,34626
30,30494
31,20688
32,32637
33,32447
34,39711
35,34626
36,30494
37,32448
38,20688
39,35003
40,42768
41,39456
42,49950
43,16088
44,20688
45,32637
46,39711
47,27407
48,18508
49,7858
50,20688
51,32637
52,32447
53,25670
54,39711
55,32448
56,20688
57,32637
58,32447
59,39711
60,34626
61,20688
62,32637
63,30494
64,44459
65,35003
66,42768
67,20688
68,30494
69,35003
70,24329
71,47638
72,34753
73,20688
74,32447
75,25670
76,39711
77,18508
78,30494
79,7858
80,20688
81,32637
82,32447
83,27407
84,34626
85,32637
86,27407
87,30494
88,35003
89,30055
90,38015
91,32637
92,25670
93,39711
94,34626
95,44459
96,35003
97,7858
98,32448
99,20688
100,32637
101,32447
102,25670
103,7858
104,16088
105,32448
106,20688
107,32637
108,32447
109,20688
110,32637
111,32447
112,39711
113,27407
114,34626
115,7858
116,16088
117,32448
118,32637
119,32447
120,25670
121,20688
122,25670
123,39711
124,30494
125,44459
126,35003
127,32448
128,32637
129,25670
130,27407
131,18508
132,30494
133,20688
134,30494
135,44459
136,35003
137,39456
138,30055
139,20688
140,25670
141,30494
142,44459
143,42768
144,49950
145,32448
146,32447
147,39711
148,34626
149,30494
150,44459
151,7858
152,16088
153,20688
154,32637
155,25670
156,39711
157,30494
158,44459
159,42768
160,30055
161,24329
162,47638
163,7858
164,20688
165,32637
166,25670
167,27407
168,18508
169,35003
170,34914
171,38747
172,38652
173,44497
174,38756
175,32448
176,20688
177,32637
178,32447
179,39711
180,34626
181,7858
182,20688
183,39711
184,27407
185,18508
186,30494
187,20688
188,30494
189,35003
190,24329
191,34753
192,34914
193,7858
194,32448
195,20688
196,32637
197,32447
198,39711
199,42768
200,24329
201,47638
202,34753
203,38747
204,49994
205,25670
206,39711
207,34626
208,18508
209,30494
210,44459
211,32637
212,27407
213,30494
214,42768
215,49950
216,38015
217,32448
218,20688
219,32637
220,32447
221,25670
222,39711
223,20688
224,32637
225,25670
226,39711
227,27407
228,34626
229,16088
230,35003
231,34753
232,11579
233,34914
234,38747
235,20688
236,32637
237,32447
238,25670
239,39711
240,34626
241,32448
242,20688
243,25670
244,39711
245,27407
246,34626
247,44459
248,42768
249,49950
250,47638
251,34753
252,43044
253,20688
254,30494
255,44459
256,42768
257,49950
258,24329
259,7858
260,16088
261,20688
262,32637
263,25670
264,27407
265,20688
266,32637
267,25670
268,39711
269,27407
270,18508
271,20688
272,32637
273,18508
274,30494
275,35003
276,42768
277,7858
278,32637
279,32447
280,25670
281,39711
282,27407
283,7858
284,20688
285,30494
286,35003
287,42768
288,39456
289,32448
290,20688
291,32637
292,32447
293,25670
294,34626
295,32448
296,39711
297,34626
298,18508
299,44459
300,35003
301,20688
302,32637
303,32447
304,27407
305,34626
306,30494
307,7858
308,16088
309,32448
310,20688
311,32637
312,32447
313,16088
314,20688
315,32637
316,32447
317,25670
318,27407
319,16088
320,20688
321,32637
322,32447
323,39711
324,34626
325,7858
326,16088
327,32448
328,32637
329,25670
330,27407
331,20688
332,32447
333,25670
334,39711
335,18508
336,30494
337,7858
338,16088
339,32448
340,20688
341,32447
342,25670
343,20688
344,25670
345,39711
346,27407
347,18508
348,30494
349,20688
350,25670
351,39711
352,44459
353,35003
354,42768
355,7858
356,16088
357,20688
358,32637
359,32447
360,25670
361,7858
362,32448
363,20688
364,32637
365,32447
366,39711
367,20688
368,32637
369,25670
370,39711
371,27407
372,34626
373,32447
374,49950
375,41633
376,26856
377,34914
378,35619
379,20688
380,39711
381,44459
382,35003
383,42768
384,49950
385,39711
386,44459
387,35003
388,42768
389,49950
390,41633
391,7858
392,20688
393,32447
394,25670
395,39711
396,27407
397,7858
398,20688
399,27407
400,30494
401,44459
402,35003
403,32637
404,27407
405,35003
406,42768
407,39456
408,30055
409,7858
410,16088
411,32637
412,32447
413,25670
414,39711
415,20688
416,39711
417,30494
418,35003
419,42768
420,49950
421,20688
422,32637
423,27407
424,34626
425,44459
426,35003
427,20688
428,32637
429,39711
430,27407
431,34626
432,30494
433,32448
434,20688
435,32447
436,39711
437,34626
438,18508
439,20688
440,25670
441,35003
442,24329
443,47638
444,34753
445,16088
446,32448
447,20688
448,32637
449,27407
450,34626
451,32637
452,25670
453,39711
454,27407
455,44459
456,35003
457,20688
458,32447
459,18508
460,35003
461,42768
462,38015
463,20688
464,32637
465,25670
466,30494
467,49950
468,41633
469,16088
470,20688
471,32637
472,25670
473,39711
474,34626
475,20688
476,32637
477,32447
478,25670
479,39711
480,27407
481,7858
482,16088
483,32448
484,20688
485,39711
486,27407
487,39711
488,44459
489,35003
490,42768
491,39456
492,49950
493,20688
494,30494
495,35003
496,34753
497,34914
498,38747
499,35003
500,42768
501,34753
502,34914
503,38747
504,38652
505,20688
506,32637
507,32447
508,25670
509,39711
510,34626
511,20688
512,32447
513,39711
514,27407
515,34626
516,18508
517,20688
518,32447
519,30494
520,44459
521,35003
522,42768
523,20688
524,34626
525,30494
526,44459
527,35003
528,42768
529,7858
530,16088
531,20688
532,39711
533,27407
534,34626
535,20688
536,27407
537,30494
538,44459
539,35003
540,42768
541,20688
542,30494
543,35003
544,42768
545,39456
546,49950
547,16088
548,32448
549,20688
550,32637
551,32447
552,25670
553,20688
554,39711
555,34626
556,30494
557,44459
558,35003
559,7858
560,16088
561,32448
562,32447
563,25670
564,39711
565,20688
566,27407
567,44459
568,35003
569,42768
570,39456
571,20688
572,32447
573,25670
574,39711
575,27407
576,34626
577,7858
578,16088
579,32447
580,27407
581,30494
582,44459
583,7858
584,20688
585,32637
586,32447
587,25670
588,39711
589,7858
590,16088
591,32448
592,20688
593,32637
594,32447
595,18508
596,30494
597,24329
598,34753
599,26856
600,34914
601,32448
602,20688
603,32637
604,32447
605,25670
606,39711
607,16088
608,32448
609,20688
610,32637
611,32447
612,39711
613,32637
614,32447
615,25670
616,39711
617,34626
618,18508
619,20688
620,32637
621,32447
622,25670
623,39711
624,18508
625,7858
626,16088
627,20688
628,32637
629,32447
630,25670
631,7858
632,20688
633,32637
634,32447
635,27407
636,34626
637,20688
638,32637
639,35003
640,42768
641,39456
642,30055
643,20688
644,39711
645,44459
646,35003
647,42768
648,49950
649,7858
650,16088
651,20688
652,32637
653,32447
654,25670
655,7858
656,32448
657,20688
658,25670
659,39711
660,27407
661,20688
662,32637
663,32447
664,39711
665,18508
666,44459
667,20688
668,39711
